15,"Cutthroat Island (1995)","Action|Adventure|Romance"
16,"Casino (1995)","Crime|Drama"
17,"Sense and Sensibility (1995)","Drama|Romance"
18,"Four Rooms (1995)","Comedy"
19,"Ace Ventura: When Nature Calls (1995)","Comedy"
75,"Big Bully (1996)","Comedy|Drama"
76,"Screamers (1995)","Action|Sci-Fi|Thriller"
77,"Nico Icon (1995)","Documentary"
78,"Crossing Guard, The (1995)","Action|Crime|Drama|Thriller"
79,"Juror, The (1996)","Drama|Thriller"
80,"White Balloon, The (Badkonake sefid) (1995)","Children|Drama"
81,"Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance"
82,"Antonia's Line (Antonia) (1995)","Comedy|Drama"
83,"Once Upon a Time... When We Were Colored (1995)","Drama|Romance"
84,"Last Summer in the Hamptons (1995)","Comedy|Drama"
85,"Angels and Insects (1995)","Drama|Romance"
86,"White Squall (1996)","Action|Adventure|Drama"
87,"Dunston Checks In (1996)","Children|Comedy"
88,"Black Sheep (1996)","Comedy"
89,"Nick of Time (1995)","Action|Thriller"
90,"Journey of August King, The (1995)","Drama"
92,"Mary Reilly (1996)","Drama|Horror|Thriller"
93,"Vampire in Brooklyn (1995)","Comedy|Horror|Romance"
94,"Beautiful Girls (1996)","Comedy|Drama|Romance"
95,"Broken Arrow (1996)","Action|Adventure|Thriller"
96,"In the Bleak Midwinter (1995)","Comedy|Drama"
97,"Hate (Haine, La) (1995)","Crime|Drama"
98,"Shopping (1994)","Action|Thriller"
99,"Heidi Fleiss: Hollywood Madam (1995)","Documentary"
100,"City Hall (1996)","Drama|Thriller"
101,"Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance"
102,"Mr. Wrong (1996)","Comedy"
103,"Unforgettable (1996)","Mystery|Sci-Fi|Thriller"
104,"Happy Gilmore (1996)","Comedy"
105,"Bridges of Madison County, The (1995)","Drama|Romance"
106,"Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama"
107,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical"
108,"Catwalk (1996)","Documentary"
109,"Headless Body in Topless Bar (1995)","Comedy|Drama|Thriller"
110,"Braveheart (1995)","Action|Drama|War"
111,"Taxi Driver (1976)","Crime|Drama|Thriller"
112,"Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime"
113,"Before and After (1996)","Drama|Mystery"
114,"Margaret's Museum (1995)","Drama"
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)","Comedy"
116,"Anne Frank Remembered (1995)","Documentary"
117,"Young Poisoner's Handbook, The (1995)","Crime|Drama"
118,"If Lucy Fell (1996)","Comedy|Romance"
119,"Steal Big, Steal Little (1995)","Comedy"
120,"Race the Sun (1996)","Adventure|Comedy|Drama"
121,"Boys of St. Vincent, The (1992)","Drama"
122,"Boomerang (1992)","Comedy|Romance"
123,"Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance"
124,"Star Maker, The (Uomo delle stelle, L') (1995)","Drama"
125,"Flirting With Disaster (1996)","Comedy"
126,"NeverEnding Story III, The (1994)","Adventure|Children|Fantasy"
127,"Silences of the Palace, The (Saimt el Qusur) (1994)","Drama"
128,"Jupiter's Wife (1994)","Documentary"
129,"Pie in the Sky (1996)","Comedy|Romance"
